SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
Windermere_28-0m	CytB	SRR3360116	SAMN04530468	PRJNA313432
Windermere_28-10m	12S	SRR3360117	SAMN04530469	PRJNA313432
Windermere_28-10m	CytB	SRR3360118	SAMN04530469	PRJNA313432
Windermere_28-20m	12S	SRR3360119	SAMN04530470	PRJNA313432
Windermere_28-20m	CytB	SRR3360120	SAMN04530470	PRJNA313432
Windermere_28-30m	12S	SRR3360121	SAMN04530471	PRJNA313432
Windermere_28-30m	CytB	SRR3360122	SAMN04530471	PRJNA313432
Windermere_28-40m	12S	SRR3360123	SAMN04530472	PRJNA313432
Windermere_28-40m	CytB	SRR3360124	SAMN04530472	PRJNA313432
Windermere_29	12S	SRR3359946	SAMN04530473	PRJNA313432
Windermere_29	CytB	SRR3359947	SAMN04530473	PRJNA313432
Windermere_30	12S	SRR3359948	SAMN04530474	PRJNA313432
Windermere_30	CytB	SRR3359949	SAMN04530474	PRJNA313432
Windermere_31	12S	SRR3359950	SAMN04530475	PRJNA313432
Windermere_31	CytB	SRR3359951	SAMN04530475	PRJNA313432
Windermere_32	12S	SRR3359953	SAMN04530476	PRJNA313432
Windermere_32	CytB	SRR3359954	SAMN04530476	PRJNA313432
Windermere_33	12S	SRR3359955	SAMN04530477	PRJNA313432
Windermere_33	CytB	SRR3359956	SAMN04530477	PRJNA313432
Windermere_34	12S	SRR3359958	SAMN04530478	PRJNA313432
Windermere_34	CytB	SRR3359959	SAMN04530478	PRJNA313432
Windermere_35	12S	SRR3359960	SAMN04530479	PRJNA313432
Windermere_35	CytB	SRR3359961	SAMN04530479	PRJNA313432
Windermere_36	12S	SRR3359962	SAMN04530480	PRJNA313432
Windermere_36	CytB	SRR3359963	SAMN04530480	PRJNA313432
Windermere_37	12S	SRR3359964	SAMN04530481	PRJNA313432
Windermere_37	CytB	SRR3359965	SAMN04530481	PRJNA313432
Windermere_38	12S	SRR3359966	SAMN04530482	PRJNA313432
Windermere_38	CytB	SRR3359967	SAMN04530482	PRJNA313432
Windermere_39	12S	SRR3359969	SAMN04530483	PRJNA313432
Windermere_39	CytB	SRR3359970	SAMN04530483	PRJNA313432
Windermere_40	12S	SRR3359971	SAMN04530484	PRJNA313432
Windermere_40	CytB	SRR3359972	SAMN04530484	PRJNA313432
Windermere_41	12S	SRR3359973	SAMN04530485	PRJNA313432
Windermere_41	CytB	SRR3359974	SAMN04530485	PRJNA313432
Windermere_42	12S	SRR3359976	SAMN04530486	PRJNA313432
Windermere_42	CytB	SRR3359977	SAMN04530486	PRJNA313432
Windermere_43	12S	SRR3359978	SAMN04530487	PRJNA313432
Windermere_43	CytB	SRR3359979	SAMN04530487	PRJNA313432
Windermere_44	12S	SRR3359981	SAMN04530488	PRJNA313432
Windermere_44	CytB	SRR3359982	SAMN04530488	PRJNA313432
Windermere_45	12S	SRR3359983	SAMN04530489	PRJNA313432
Windermere_45	CytB	SRR3359984	SAMN04530489	PRJNA313432
Windermere_46	12S	SRR3359985	SAMN04530490	PRJNA313432
Windermere_46	CytB	SRR3359986	SAMN04530490	PRJNA313432
Windermere_47	12S	SRR3359987	SAMN04530491	PRJNA313432
Windermere_47	CytB	SRR3359989	SAMN04530491	PRJNA313432
Windermere_48	12S	SRR3359990	SAMN04530492	PRJNA313432
Windermere_48	CytB	SRR3359991	SAMN04530492	PRJNA313432
Windermere_49	12S	SRR3359993	SAMN04530493	PRJNA313432
Windermere_49	CytB	SRR3359994	SAMN04530493	PRJNA313432
Windermere_50	12S	SRR3359996	SAMN04530494	PRJNA313432
Windermere_50	CytB	SRR3359997	SAMN04530494	PRJNA313432
Windermere_shore-01	12S	SRR3359998	SAMN04530495	PRJNA313432
Windermere_shore-01	CytB	SRR3359999	SAMN04530495	PRJNA313432
Windermere_shore-02	12S	SRR3360000	SAMN04530496	PRJNA313432
Windermere_shore-02	CytB	SRR3360002	SAMN04530496	PRJNA313432
Windermere_shore-03	12S	SRR3360003	SAMN04530497	PRJNA313432
Windermere_shore-03	CytB	SRR3360004	SAMN04530497	PRJNA313432
Windermere_shore-04	12S	SRR3360006	SAMN04530498	PRJNA313432
Windermere_shore-04	CytB	SRR3360007	SAMN04530498	PRJNA313432
Windermere_shore-05	12S	SRR3360008	SAMN04530499	PRJNA313432
Windermere_shore-05	CytB	SRR3360009	SAMN04530499	PRJNA313432
Windermere_shore-06	12S	SRR3360010	SAMN04530500	PRJNA313432
Windermere_shore-06	CytB	SRR3360011	SAMN04530500	PRJNA313432
Mock-community_01	12S	SRR3360012	SAMN04530501	PRJNA313432
Mock-community_01	CytB	SRR3360013	SAMN04530501	PRJNA313432
Mock-community_02	12S	SRR3360014	SAMN04530502	PRJNA313432
Mock-community_02	CytB	SRR3360015	SAMN04530502	PRJNA313432
Mock-community_03	12S	SRR3360017	SAMN04530503	PRJNA313432
Mock-community_03	CytB	SRR3360018	SAMN04530503	PRJNA313432
Mock-community_04	12S	SRR3360019	SAMN04530504	PRJNA313432
Mock-community_04	CytB	SRR3360020	SAMN04530504	PRJNA313432
Mock-community_05	12S	SRR3360021	SAMN04530505	PRJNA313432
Mock-community_05	CytB	SRR3360022	SAMN04530505	PRJNA313432
Mock-community_06	12S	SRR3360023	SAMN04530506	PRJNA313432
Mock-community_06	CytB	SRR3360024	SAMN04530506	PRJNA313432
Mock-community_07	12S	SRR3360026	SAMN04530507	PRJNA313432
Mock-community_07	CytB	SRR3360027	SAMN04530507	PRJNA313432
Mock-community_08	12S	SRR3360029	SAMN04530508	PRJNA313432
Mock-community_08	CytB	SRR3360030	SAMN04530508	PRJNA313432
Mock-community_09	12S	SRR3359939	SAMN04530509	PRJNA313432
Mock-community_09	CytB	SRR3359940	SAMN04530509	PRJNA313432
Mock-community_10	12S	SRR3359941	SAMN04530510	PRJNA313432
Mock-community_10	CytB	SRR3359942	SAMN04530510	PRJNA313432
